,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,x,y,width,height,color,block,blockNum,discreteWorld,trialStartTime,turnStartTime,timeElapsedInTurn,timeElapsedInTrial,eventType,individualPracticeAttempts,practice
0,5ef7f997ce2f7f58fcd0a9bf,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309591836.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,horizontal,vertical,,1,practice,2,0,2,1,"[10, 47, 179, 155]","{'x': 2, 'y': 0, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",0,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309552580.0,1593309583306.0,8530,39256,block,,True
1,5ef7f9bace2f7f58fcd0a9c1,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309626013.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,horizontal,vertical,,3,practice,8,0,1,2,"[179, 47, 10, 155]","{'x': 8, 'y': 0, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",1,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309552580.0,1593309616344.0,9669,73433,block,,True
2,5ef7f9eece2f7f58fcd0a9c4,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309678502.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,L,Pi,0.0,1,0,1,0,2,1,"[10, 47, 179, 155]","{'x': 1, 'y': 0, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",0,"[[False, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309631321.0,1593309663116.0,15386,47181,block,,False
3,5ef7f9f1ce2f7f58fcd0a9c5,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309681298.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,L,Pi,0.0,1,0,3,0,2,1,"[10, 47, 179, 155]","{'x': 3, 'y': 0, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",1,"[[False, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309631321.0,1593309663116.0,18182,49977,block,,False
4,5ef7fa6dce2f7f58fcd0a9c8,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309805148.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,L,Pi,0.0,5,0,1,1,1,2,"[179, 47, 10, 155]","{'x': 1, 'y': 1, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",2,"[[False, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309631321.0,1593309777767.0,27381,173827,block,,False
5,5ef7fa6fce2f7f58fcd0a9c9,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309807738.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,L,Pi,0.0,5,0,1,3,1,2,"[179, 47, 10, 155]","{'x': 1, 'y': 3, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",3,"[[False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309631321.0,1593309777767.0,29971,176417,block,,False
6,5ef7faa9ce2f7f58fcd0a9cb,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309865327.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,L,Pi,0.0,7,0,9,0,1,2,"[179, 47, 10, 155]","{'x': 9, 'y': 0, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",4,"[[False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309631321.0,1593309839749.0,25578,234006,block,,False
7,5ef7faacce2f7f58fcd0a9cc,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309868165.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,L,Pi,0.0,7,0,9,2,1,2,"[179, 47, 10, 155]","{'x': 9, 'y': 2, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",5,"[[False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309631321.0,1593309839749.0,28416,236844,block,,False
8,5ef7fad7ce2f7f58fcd0a9ce,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309911822.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,L,Pi,0.0,9,0,10,0,1,2,"[179, 47, 10, 155]","{'x': 10, 'y': 0, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",6,"[[False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, False, False, False, False, False, False], [True, True, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309631321.0,1593309899486.0,12336,280501,block,,False
9,5ef7fb14ce2f7f58fcd0a9d0,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309972757.0,3ZY8KE4ISN3GOXYDS96PU3THAVNQVI,L,Pi,0.0,11,0,7,0,1,2,"[179, 47, 10, 155]","{'x': 7, 'y': 0, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",7,"[[False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, False, False, False, False, False, False], [True, True, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1593309631321.0,1593309959066.0,13691,341436,block,,False
