,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,content,timeElapsedInTurn,timeElapsedInTrial,eventType,individualPracticeAttempts,practice
0,5ef7f98ece2f7f58fcd0a9be,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309582971.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,horizontal,vertical,,0,practice,Place the blue blocks directly over the red tick mark on the left of the screen~~~,30692,30692,chatMessage,,True
1,5ef7f9b0ce2f7f58fcd0a9c0,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309616076.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,horizontal,vertical,,2,practice,Place the red blocks just to the left of the red tick mark on the right side,22952,63793,chatMessage,,True
2,5ef7f9dece2f7f58fcd0a9c3,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309662883.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,0.0,0,0,Place two blue blocks so they meet in the middle over the mark on the left side~~~,31645,31645,chatMessage,,False
3,5ef7fa11ce2f7f58fcd0a9c6,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309713829.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,0.0,2,0,Place two red blocks so they form a right angle on the blue blocks - and L,31091,82589,chatMessage,,False
4,5ef7fa51ce2f7f58fcd0a9c7,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309777511.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,0.0,4,0,Block on the far left of the placed blue blocks - build up from there with two red ones stacked,32892,146270,chatMessage,,False
5,5ef7fa8fce2f7f58fcd0a9ca,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309839489.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,0.0,6,0,This time we're making an upside down U - red blocks one count over from the red tick on the right s,29869,208249,chatMessage,,False
6,5ef7facbce2f7f58fcd0a9cd,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309899266.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,0.0,8,0,Ok - one red block to the right of the one you placed on the baseline~~~,15895,268024,chatMessage,,False
7,5ef7fb06ce2f7f58fcd0a9cf,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309958867.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,0.0,10,0,now count two blocks over from the first red one you placed adn put one red block,37459,327625,chatMessage,,False
8,5ef7fb32ce2f7f58fcd0a9d2,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310002855.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,1.0,0,0,"Right side red tick mark - put one blue block so it's centered
",24903,24903,chatMessage,,False
9,5ef7fb53ce2f7f58fcd0a9d4,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310035725.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,1.0,2,0,"Now from the left blue block, place two red blocks above so it goes up",20969,57746,chatMessage,,False
10,5ef7fb78ce2f7f58fcd0a9d7,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310072372.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,1.0,4,0,Now place a blue block on top of the red so it mirrors the one below,11329,94419,chatMessage,,False
11,5ef7fb93ce2f7f58fcd0a9d9,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310099674.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,1.0,6,0,"On the left tick mark - put down 2 blue blocks, one on either side of the mark",20701,121720,chatMessage,,False
12,5ef7fbaace2f7f58fcd0a9dc,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310122910.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,1.0,8,0,"Now from the leftmost blue block, put two red blocks going up",13345,144879,chatMessage,,False
13,5ef7fbcfce2f7f58fcd0a9e0,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310159463.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,2.0,0,0,Left side - one blue block over the left tick mark,16480,16480,chatMessage,,False
14,5ef7fbface2f7f58fcd0a9e2,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310202284.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,2.0,2,0,Leftmost blue block - two red blocks on top going up,14668,59301,chatMessage,,False
15,5ef7fc0ece2f7f58fcd0a9e5,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310222113.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,2.0,4,0,One more blue block on top mirroring bottom,9329,79130,chatMessage,,False
16,5ef7fc34ce2f7f58fcd0a9e7,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310260316.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,2.0,6,0,One red block - two squares over from the right mark,32463,117332,chatMessage,,False
