,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,content,timeElapsedInTurn,timeElapsedInTrial,eventType,practice
0,5f47d4f7df57f9222c29cc13,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598543095279.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,horizontal,vertical,,0,practice,0,"blue B 3rd postion, bottom left~~~ red B 4th position from bottom right, just left of red line",184259,184259,chatMessage,True
1,5f47d55bdf57f9222c29cc17,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598543195176.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,horizontal,vertical,,0,practice,0,"blue 3rd bottom, red line in middle, Red 4th bottom position
",40107,40107,chatMessage,True
2,5f47d5aedf57f9222c29cc1b,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598543278099.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,horizontal,vertical,,0,practice,0,"Blue starts 3rd position bottom from left
Red starts 4th postion from right",43133,43133,chatMessage,True
3,5f47d690df57f9222c29cc1f,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598543504768.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,C,0.0,0,0,0,"4 blue 2nd positionbottomleft 2x skip 3 blocks lay 1more~~~ up 5 lay one more
red 2 on top eac blue 

",211020,211020,chatMessage,False
4,5f47d7badf57f9222c29cc23,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598543802540.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,C,0.0,2,0,0,"blue total 4 (2 start 2 from left) skip 3 lay one, up 5 lay one
Red: 4 tot start on left most blue",131686,508791,chatMessage,False
5,5f47d8a8df57f9222c29cc2a,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544040912.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,C,0.0,4,0,0,"blue (left 2nd position, 2 blocks), skip 3 lay another blue, up 5 another
Red 2 high each structure
",120909,747158,chatMessage,False
6,5f47d997df57f9222c29cc31,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544279981.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,Pi,1.0,0,0,0,"shape L and N: 
L 2 red high 2 blue long start 2nd bottom left 
N 1 blue high 2 red  start 2nd right",129384,129384,chatMessage,False
7,5f47da46df57f9222c29cc36,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544454670.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,Pi,1.0,2,0,0,shape lower case n starts 2nd from right bottom: 1 blue high 2 red across,37091,304069,chatMessage,False
8,5f47db23df57f9222c29cc46,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544675217.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,Pi,2.0,0,0,0,"shape C: 1blue block 3rd position from bottom, 2 red on top, one blue on tops of that
",79746,79746,chatMessage,False
9,5f47db64df57f9222c29cc4b,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544740468.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,Pi,2.0,2,0,0,"n shape, blue starts 2nd from right bottom, skip 2 lay another blue, 2 red on top to connect them",46986,144966,chatMessage,False
10,5f47dc0bdf57f9222c29cc57,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544907659.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,Pi,2.0,4,0,0,"I told you wrong ! Sorry! I got my colors messed up, just place the rest and lets move on",62848,312186,chatMessage,False
11,5f47dc45df57f9222c29cc5c,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544965454.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,L,3.0,0,1,0,"C shape: 1 blue starts 3rd pos from left, the 2 red on top of each other, blue on top of them",39129,39129,chatMessage,False
12,5f47dc9cdf57f9222c29cc6b,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545052478.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,L,3.0,2,1,0,"L shape lay 2 blue starting 2nd from right bottom , 2 red on top of left most blue block ",72601,126159,chatMessage,False
13,5f47dcf6df57f9222c29cc71,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545142010.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,L,4.0,0,1,0,"n shape starts 2nd, bottom left with a RED block, two blue on top of that and a red down ",67834,67834,chatMessage,False
14,5f47dd40df57f9222c29cc77,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545216234.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,L,4.0,2,1,0,L shape starts 2nd bottom right with two blue and 2 red on top of the left most blue block,36466,142066,chatMessage,False
15,5f47dd6bdf57f9222c29cc81,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545259059.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,C,5.0,0,1,0,n shape just like last time starts 2nd bottom left,16769,16769,chatMessage,False
16,5f47dddedf57f9222c29cc8b,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545374146.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,C,5.0,2,1,0,"C shape starts 3rd from bottom right lay one blue, two red on top of left most blue, then 2nd  blue",57241,131854,chatMessage,False
17,5f47de33df57f9222c29cc92,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545459348.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,Pi,6.0,0,2,0,"C shape starts 3rd bottom left, lay 1 blue, two red on top of left most blue, then another blue top",64462,64462,chatMessage,False
18,5f47de6cdf57f9222c29cca0,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545516668.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,Pi,6.0,2,2,0,"n shape: lay red 2nd from right bottom, two blue across and another red down",42826,121777,chatMessage,False
19,5f47deb0df57f9222c29cca6,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545584935.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,Pi,7.0,0,2,0,"L shape starts 2nd bottom from left with 2 blue block and 2 red on top of left most blue block
",48805,48805,chatMessage,False
20,5f47dedcdf57f9222c29ccaf,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545628812.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,Pi,7.0,2,2,0,"n shape starts 2nd bottom right, lay red, 2 blue across, another red down",32484,92676,chatMessage,False
21,5f47df0bdf57f9222c29ccbc,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545675283.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,C,8.0,0,2,0,L starts 2nd bottom left 2 blue across 2 red high starting on the left most blue block,30589,30589,chatMessage,False
22,5f47df34df57f9222c29ccc6,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545716052.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,C,8.0,2,2,0,"C starting 3rd bottom right with blue, 2 red high, another blue on top",26627,71357,chatMessage,False
23,5f47df60df57f9222c29ccd1,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545760120.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,L,9.0,0,3,0,"n starting 2nd bottom left with red, 2 blue across, red down",23341,23341,chatMessage,False
