,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,turnNum,repNum,score,gameID,nativeEnglish,isHuman,confused,comments,strategy,role,totalLength,eventType
0,5efa3464ce2f7f58fcd0b1ee,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455716904.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,Pi,L,0,3,240,A2YGOORS5N9RW8,yes,human,yes,no problems,"i tried to be as detailed as possible in the beginning~~~ then once we got the hand of things, i would give more simple instructions based on my previous instructions",speaker,1751374,exitSurvey
1,5efa3487ce2f7f58fcd0b1fa,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455751623.0,33M4IA01QK184NI853W7NE07M0IRXO,Pi,L,0,3,240,A2A4Q3XU50SBE2,yes,human,yes,"I think the architect deserves a bigger bonus than I do, they did a great job~~~",I followed instructions and we quickly developed a shorthand because my partner was amazing~~~,listener,1669782,exitSurvey
0,5ef96f0dce2f7f58fcd0aeb6,pilot2,1959-2f467add-c0d9-49a6-b35c-c5a40cca728d,1593405197046.0,324G5B4FB78QPESITD9U9JMWBDU70T,Pi,C,0,3,0,AT3ZTDZVK77F9,yes,human,yes,no,no,listener,1767953,exitSurvey
1,5ef96f87ce2f7f58fcd0aeb8,pilot2,1959-2f467add-c0d9-49a6-b35c-c5a40cca728d,1593405319987.0,3ON104KXQOWMEHBKKM48D2BQLGJ4W8,Pi,C,0,3,0,A3N0QZ9ZKUCTCQ,yes,human,yes,,I described the instructions to my partner following a guideline of what to placed but I'm not sure they can understand English~~~,speaker,1993955,exitSurvey
0,5efa3093ce2f7f58fcd0b0c4,pilot2,2083-6615b44d-57a8-4953-beca-afa15df0c195,1593454739233.0,3RKNTXVS3QYP748HJH8GVDEZT1PA4K,C,L,0,3,175,A1WS9UHL45VZ0X,yes,human,yes,"No, it was fun, thank you!",I tried to give the structures names so my partner would have an idea of what they were supposed to look like~~~,speaker,2026208,exitSurvey
1,5efa30bace2f7f58fcd0b0d1,pilot2,2083-6615b44d-57a8-4953-beca-afa15df0c195,1593454778835.0,33PPUNGG3C5X9IIN6LKSKZGIU0GRZL,C,L,0,3,175,A3C8JI69WPTKWH,yes,human,yes,,I tried to interpret my partner the best I can and work quickly to try to not run out of time~~~,listener,2019333,exitSurvey
0,5efa1d7dce2f7f58fcd0af88,pilot2,3086-e9f8b532-4969-4703-852e-f6f029d281e2,1593449853700.0,3GM6G9ZBKRXAQQWWVLZTCCLR3HLTM9,C,L,0,3,165,A3K9GTQBOI7O5A,yes,human,yes,No,I tried to follow the instructions of the other player carefully,listener,2724794,exitSurvey
1,5efa1dd4ce2f7f58fcd0af89,pilot2,3086-e9f8b532-4969-4703-852e-f6f029d281e2,1593449940452.0,32EYX73OY49GNJOD0YLK3713SIRRUM,C,L,0,3,165,A37R0JYAB3QEX9,yes,human,yes,no,I tried to use the grid to get started and then explain where to continue the blocks~~~  I also used letters to explain what the shape should look like,speaker,3134273,exitSurvey
0,5ef91f6ece2f7f58fcd0ab99,pilot2,4282-2568ede7-963d-4fee-ab15-b69e472ef360,1593384814850.0,37UQDCYH61V6IFTYWAXJUCCM58AV7A,C,L,0,3,70,AJ4T7PTRYNSUW,yes,human,yes,,Just trying to follow the directions from my partner I thought he was looking at the grid going up was lettered a - f  and then each space horizontally was a number~~~,listener,2711402,exitSurvey
1,5ef91f9dce2f7f58fcd0ab9a,pilot2,4282-2568ede7-963d-4fee-ab15-b69e472ef360,1593384861802.0,3EQHHY4HQWS8DEPKJMJ0WRVGRNS5GH,C,L,0,3,70,A1OM5NWYYYJKQW,yes,program,yes,"no, it was fun~~~ It took me a minute to get it~~~",I took graphing in school so I used labels~~~ I told my partner a is horizontal so then numbers would be vertical,speaker,3274851,exitSurvey
0,5efa3596ce2f7f58fcd0b239,pilot2,4909-705b801e-4ec3-4910-b180-bb7612d80f25,1593456022039.0,3LJ7UR74RLDWRN26SLDLHJYZS8ON4H,Pi,C,0,3,229,A1JZOOVYE1K4R3,yes,human,yes,"No problems, experiment was fun and ran great!","I was trying to give instructions to build from the bottom up~~~  I started with the left tower, then did the right~~~",speaker,2963935,exitSurvey
1,5efa35a2ce2f7f58fcd0b23a,pilot2,4909-705b801e-4ec3-4910-b180-bb7612d80f25,1593456034192.0,354P56DE9O3QQNCU2FSEJPSF69M7SX,Pi,C,0,3,229,A2196WCNDZULFS,yes,human,yes,"No, it was really fun, thank you!","I just did what they said~~~ When I couldn't do what they said, I sent back a blank turn to tell them I couldn't do that~~~",listener,2424219,exitSurvey
0,5ef965a9ce2f7f58fcd0ac41,pilot2,5584-cb7536bf-73d0-4d3c-a0ec-2735882de660,1593402793782.0,3GU1KF0O4M1GF7ZSNF00TM902BXBPQ,C,L,0,3,0,A10VQA1XJOOKBS,yes,human,yes,no,nothing,speaker,971685,exitSurvey
1,5ef9660dce2f7f58fcd0ac4b,pilot2,5584-cb7536bf-73d0-4d3c-a0ec-2735882de660,1593402893142.0,3ERET4BTVQ9WGNNFC3HW6ZSBK1O9KD,C,L,0,3,0,A30KYQGABO7JER,no,program,yes,My counterpart was a bot~~~,I tried my best to build the towers~~~ My counterpart was not helpful~~~,listener,1017235,exitSurvey
0,5efa3621ce2f7f58fcd0b263,pilot2,5895-de8412be-4cb1-49e4-9c61-ca6a11481af8,1593456161174.0,3Z9WI9EOZ3OPVT5YAF5OJGQZ3I5HKS,Pi,C,0,3,194,A10JXOU89D5RXR,yes,program,yes,interesting,see how well the presumably AI learns,speaker,2447137,exitSurvey
1,5efa3655ce2f7f58fcd0b264,pilot2,5895-de8412be-4cb1-49e4-9c61-ca6a11481af8,1593456213015.0,3SKEMFQBZ75W2I457BBI63X00ZFK8G,Pi,C,0,3,194,A3KIC0UFTOB0MY,yes,program,yes,Clearer instructions on how to use the user interface would be appropriate~~~  Thank you for letting me participate!,"Figuring out the user interface was my initial strategy~~~  The ""architect"" was under the impression I could remove blocks when I could not~~~",listener,2286030,exitSurvey
0,5ef969dcce2f7f58fcd0ad5a,pilot2,6691-dee56275-2f4b-44b8-a47c-d4d41c945670,1593403868924.0,3YHH42UU5FFP4ZHKX7A4SO4X6X0L0H,C,L,0,3,0,A12UQ66L9I947W,yes,human,yes,NO,GOOD,listener,969252,exitSurvey
1,5ef969ecce2f7f58fcd0ad5f,pilot2,6691-dee56275-2f4b-44b8-a47c-d4d41c945670,1593403884323.0,3OXV7EAXLIQ326DATQML53K7JEL63F,C,L,0,3,0,A3URO83ST78FF5,yes,human,yes,good,good survey very interesting,speaker,1198861,exitSurvey
0,5ef9196ace2f7f58fcd0ab2b,pilot2,6753-24a4a6e7-e017-4cba-a068-8dea7af05cf2,1593383274670.0,3MAOD8E57UANPPQGCWFQEUVXLYNXNQ,Pi,C,0,3,225,A3FAF93BMDJLAL,yes,human,yes,No issues~~~,I tried to do exactly what they said and figure it out logically~~~,listener,1694888,exitSurvey
1,5ef919b1ce2f7f58fcd0ab31,pilot2,6753-24a4a6e7-e017-4cba-a068-8dea7af05cf2,1593383345488.0,3ATTHHXXWEOVBOFPFG2Y9MZGZZTXIA,Pi,C,0,3,225,A21JE325072629,no,human,yes,No,In the initial trials be descriptive and in the later trials just tell the builder the name of the shape,speaker,1852021,exitSurvey
0,5ef96ebdce2f7f58fcd0aeab,pilot2,8548-343a533f-0369-4b20-bbd4-a00f25359cea,1593405117341.0,3NAPMVF0Z0FXLOVW80D8S7FB8BE72D,Pi,L,0,3,0,A2PM9J8MEN5BHH,yes,human,yes,Nothing,building the tower,listener,1989794,exitSurvey
0,5efa47d0ce2f7f58fcd0b340,pilot2,9940-419571e8-f021-4083-9210-892897d2b4df,1593460688892.0,3JBT3HLQFC2CX528TTG3F4G3TIVZP4,Pi,L,0,3,80,AA4QUDJHEUKYX,yes,human,yes,no,some what good,speaker,3061166,exitSurvey
1,5efa47eece2f7f58fcd0b341,pilot2,9940-419571e8-f021-4083-9210-892897d2b4df,1593460718716.0,354P56DE9O3QQNCU2FSEJPSF69O7SZ,Pi,L,0,3,80,AXAO7UJYYEFCO,yes,human,yes,"My partner pretty much quit during it, didn't give detailed instructions, just told me to place them all in one go",place the blocks where they told me,listener,3061873,exitSurvey
