,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,turnNum,individualPracticeAttempts,score,gameID,nativeEnglish,isHuman,confused,comments,strategy,role,totalLength,pairedPracticeFails,eventType
0,5f4ff0d41034572e6687fce5,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074516474.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,Pi,C,0,0,575,A2UP4TCLF892NV,yes,human,yes,no problems,"establish an x,y system and tell them where to place the pieces",speaker,2218627,1,exitSurvey
1,5f4ff0ea1034572e6687fce8,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074538458.0,3ON104KXQOWMEHBKKM48D2BRZ6V4WG,Pi,C,0,0,575,A3SJVR4BROAIJO,yes,human,yes,"The trial ran really slow, but the regular trials ran fine~~~","My partner came up with a great strategy to number the grid, which helped with the placement of each block~~~ We also came up with names for the shapes which helped me to place more blocks in each turn~~~",listener,1869375,1,exitSurvey
0,5f4fee161034572e6687fc49,pilot4,0741-0d5c3f38-e1fa-4a05-9f35-4a81c7cdbd71,1599073814974.0,379J5II41SGOVPWE5E9JDD62EO7LEW,C,L,0,1,540,A1XVEKS9O73ERE,yes,human,yes,no,I did what my partner told me to do,listener,3020858,0,exitSurvey
1,5f4fee2b1034572e6687fc4c,pilot4,0741-0d5c3f38-e1fa-4a05-9f35-4a81c7cdbd71,1599073835938.0,38SKSKU7R5X0BUY01XZAYS4U6HEIL2,C,L,0,0,540,A10IUXCZBNYUXC,yes,human,yes,"No problems, thanks",Trying to explain very carefully and not make mistakes~~~  One mistake throws the whole thing off~~~,speaker,3171108,0,exitSurvey
0,5f4ff9021034572e6687fdbc,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076610144.0,3I0BTBYZA1L94YOJGMZUMW6UT2EY0S,C,L,0,1,275,A2XOLPX3126H88,yes,human,yes,none,nice,listener,2786743,1,exitSurvey
1,5f4ff9691034572e6687fdbd,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076713848.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,C,L,0,1,275,A13N0OUKC9MYHX,yes,human,yes,No problems,it was really interesting,speaker,3110792,1,exitSurvey
0,5f4ff3f91034572e6687fd54,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599075321334.0,3VNXK88KKGIAWYHRB7V3883TEPTV9F,Pi,L,0,0,520,A2KLJKDG90K1PP,yes,human,yes,No~~~,No strategy~~~,listener,1875157,0,exitSurvey
1,5f4ff3fd1034572e6687fd55,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599075325114.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,Pi,L,0,1,520,A3CH1Z6J9R38G9,yes,human,yes,nope,remember the shapes and communicate them to the other player,speaker,2371479,0,exitSurvey
0,5f518bd51034572e66880422,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599179733410.0,3ITXP059P0JJAIDW3OHBMFXPB2QSJ5,Pi,L,0,0,465,A1WVNDH62P2UNZ,yes,human,yes,No problems,Well i listened to my partners instructions and hope they were given right~~~,listener,3270325,2,exitSurvey
1,5f518be11034572e66880423,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599179745958.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,Pi,L,0,0,465,A1U9YAKV28PNTX,yes,human,yes,no,yes but it failed,speaker,4213586,2,exitSurvey
0,5f5164f31034572e6688028a,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599169779676.0,3R6P78PK7OBAYG0AKI1YZ71VLSQGTF,Pi,C,0,0,535,A3V2XCDF45VN9X,no,program,yes,no,follow the direction~~~,listener,3730421,1,exitSurvey
1,5f5166481034572e668802cb,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599170120511.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,Pi,C,0,0,535,ANR0LIX0VLUYJ,yes,human,yes,"Short timer, and long waiting times~~~ But the experiment itself ran smoothly~~~","I developed a short but precise way to described where to locate the blocks, and continue to use across the whole experiment~~~",speaker,4225329,1,exitSurvey
0,5f5160af1034572e6688015c,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168687923.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,Pi,L,0,0,565,A2CHDWKAYZ3P3E,yes,human,yes,NA,I got to know the shapes then described them to my partner,speaker,1995981,1,exitSurvey
1,5f5160d01034572e6688016d,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168720433.0,3D3VGR7TA4FWOPBULEPJGYB4T3WR3F,Pi,L,0,1,565,A3CWEIEY3TGJFX,yes,human,yes,the block placement was a bit touchy and one of them messed up by flipping to the wrong space as I placed it~~~,I just followed my partner's instructions and he/she was able to simplify the instructions the more experience we had building~~~,listener,1768094,1,exitSurvey
