,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,turnNum,individualPracticeAttempts,score,gameID,nativeEnglish,isHuman,confused,comments,strategy,role,totalLength,pairedPracticeFails,eventType
0,5f591c161034572e66881855,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599675414526.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,Pi,L,0,0,535,AE8463V6PNJMV,yes,human,yes,,be simple and concise,speaker,2705609,0,exitSurvey
1,5f591c461034572e66881860,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599675462712.0,3TYCR1GOTGJM6KNA11NWYN7K3CQLZD,Pi,L,0,0,535,A23WCDJKAT0RN5,yes,human,yes,"No, everything went smoothly~~~","My partner gave very good instructions~~~ We had a hard time during the first couple rounds, but after that, we started to understand instructions better and identify things we'd done in previous rounds that were applicable to the round we were working on~~~",listener,2633632,0,exitSurvey
0,5f581cc51034572e66880deb,pilot4b,0312-5a54cbf3-4d0e-484b-b7f8-ecb4b63910f7,1599610053470.0,3DI28L7YXEEB5ISAC4R0TYXOHU0E16,Pi,L,0,0,360,A5BUUXDPUKSUD,yes,human,yes,none,nice,speaker,1721734,0,exitSurvey
1,5f581cf21034572e66880e05,pilot4b,0312-5a54cbf3-4d0e-484b-b7f8-ecb4b63910f7,1599610098279.0,3XCC1ODXDPBOVQHWJP1FT64F4VUQR2,Pi,L,0,0,360,A1RDRK3QTM7U96,yes,human,yes,none,try to follow their instructions,listener,1744181,0,exitSurvey
0,5f58242d1034572e668810b1,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611949806.0,3YZ8UPK3VXMCHHZUI1VPEC2I7F4CUU,Pi,L,0,1,560,A1OONOQKMO9R8L,yes,program,yes,none,"once i realized there were only so many shapes to make, I focused on how to make those shapes quickly",listener,1939882,0,exitSurvey
1,5f5824401034572e668810b2,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611968662.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,Pi,L,0,1,560,A26LOVXF4QZZCO,yes,human,yes,No problems at all!,"at first I gave block by block instructions, but then we transitioned to naming the whole structures and I just said which side to put them on~~~",speaker,1980670,0,exitSurvey
0,5f581f0a1034572e66880eee,pilot4b,1365-1fb4edd2-7f85-4cc2-ac87-8770467a91d7,1599610634191.0,3IX2EGZR7FJ793DJOZH6W5STQ0SJRU,C,L,0,1,295,A3JC9VPPTHNKVL,yes,human,yes,no~~~,"tried explaining by left/right of the line, tries the shape (""L"" upside down ""U""), and also co-ordinates, but my partner was not getting any of it, and gave up and started placing blocks randomly~~~",speaker,2849423,2,exitSurvey
1,5f581f321034572e66880f00,pilot4b,1365-1fb4edd2-7f85-4cc2-ac87-8770467a91d7,1599610674119.0,358UUM7WR33EP8CHNQS9TFNKZ5YR71,C,L,0,1,295,A3GMLJGZJ5V2CD,yes,human,yes,no,nice,listener,2586186,2,exitSurvey
0,5f5808151034572e6688077d,pilot4b,1690-8f854c73-420c-4820-b76f-2c2ac28a3035,1599604757131.0,3VSOLARPKF9QKPF8RXPXPDBAOGA39N,Pi,L,0,1,530,A2FZBKFL7SCHHL,yes,program,yes,No problems,Over time I started to figure out a way to combine steps so we would have fewer back and forth sessions~~~,speaker,3274320,0,exitSurvey
1,5f58081a1034572e6688077e,pilot4b,1690-8f854c73-420c-4820-b76f-2c2ac28a3035,1599604762204.0,3WRFBPLXREOB9RJ2S7827E6UT5RN36,Pi,L,0,0,530,A9FZ3UA691V8O,yes,human,yes,No,I completely followed the instructions from the other player who played as architect,listener,3159380,0,exitSurvey
