,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
0,5ef783a1ce2f7f58fcd0a354,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279393386.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,,0,practice,25,0,0.0,endTrial,True
1,5ef783c3ce2f7f58fcd0a35b,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279427406.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,,0,practice,100,0,0.0,endTrial,True
2,5ef784d6ce2f7f58fcd0a3a0,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279702736.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,0,0,87,87,0.06,endTrial,False
3,5ef7859cce2f7f58fcd0a3d3,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279900184.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,0,0,100,187,0.16,endTrial,False
4,5ef7863ece2f7f58fcd0a405,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280062979.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,2.0,0,0,87,274,0.22,endTrial,False
5,5ef786b6ce2f7f58fcd0a439,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280182554.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,C,3.0,0,1,31,305,0.22,endTrial,False
6,5ef78732ce2f7f58fcd0a477,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280306659.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,L,4.0,0,1,68,373,0.24,endTrial,False
7,5ef787b3ce2f7f58fcd0a4c2,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280435766.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,L,5.0,0,1,31,404,0.24,endTrial,False
8,5ef78819ce2f7f58fcd0a518,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280537877.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,6.0,0,2,100,504,0.34,endTrial,False
9,5ef78867ce2f7f58fcd0a556,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280615495.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,7.0,0,2,100,604,0.43,endTrial,False
10,5ef788b1ce2f7f58fcd0a58b,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280689573.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,8.0,0,2,100,704,0.53,endTrial,False
