,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,trialScore,cumulativeScore,cumulativeBonus,eventType,individualPracticeAttempts,practice
0,5ef7f9bace2f7f58fcd0a9c2,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309626151.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,horizontal,vertical,,0,practice,100,0,0.0,endTrial,,True
1,5ef7fb14ce2f7f58fcd0a9d1,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593309972902.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,0.0,0,0,81,81,0.09,endTrial,,False
2,5ef7fbb9ce2f7f58fcd0a9df,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310137890.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,1.0,0,0,100,181,0.24,endTrial,,False
3,5ef7fc96ce2f7f58fcd0a9ee,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310358039.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,2.0,0,0,100,281,0.39,endTrial,,False
4,5ef7fcf8ce2f7f58fcd0a9f9,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310456049.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,L,3.0,0,1,100,381,0.54,endTrial,,False
5,5ef7fd88ce2f7f58fcd0aa06,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310600129.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,C,4.0,0,1,100,481,0.69,endTrial,,False
6,5ef7fdcdce2f7f58fcd0aa11,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310669012.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,L,5.0,0,1,100,581,0.84,endTrial,,False
7,5ef7fe1ace2f7f58fcd0aa1c,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310746847.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,6.0,0,2,100,681,0.99,endTrial,,False
8,5ef7fe5ece2f7f58fcd0aa27,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310814494.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,7.0,0,2,100,781,1.14,endTrial,,False
9,5ef7fea3ce2f7f58fcd0aa36,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310883446.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,8.0,0,2,100,881,1.29,endTrial,,False
10,5ef7fef0ce2f7f58fcd0aa46,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310960007.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,L,9.0,0,3,100,981,1.44,endTrial,,False
11,5ef7ff30ce2f7f58fcd0aa51,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593311024369.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,C,10.0,0,3,100,1081,1.59,endTrial,,False
12,5ef7ff90ce2f7f58fcd0aa5d,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593311120231.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,L,11.0,0,3,100,1181,1.73,endTrial,,False
0,5f403ee70f92420bdd879567,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045927155.0,,vertical,horizontal,,0,practice,0,0,0.0,endTrial,,True
1,5f403ef20f92420bdd87956b,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045938002.0,,vertical,horizontal,,0,practice,100,0,0.0,endTrial,,True
2,5f403f030f92420bdd879575,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045955885.0,,L,Pi,0.0,0,0,31,31,0.0,endTrial,,False
3,5f403f180f92420bdd87957f,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045976247.0,,L,C,1.0,0,0,87,118,0.15,endTrial,,False
4,5f403f290f92420bdd879589,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045993490.0,,C,Pi,2.0,0,0,31,149,0.15,endTrial,,False
5,5f403f370f92420bdd879593,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046007517.0,,Pi,L,3.0,0,1,31,180,0.15,endTrial,,False
6,5f403f460f92420bdd87959d,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046022362.0,,C,L,4.0,0,1,31,211,0.15,endTrial,,False
7,5f403f560f92420bdd8795a7,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046038833.0,,Pi,C,5.0,0,1,75,286,0.65,endTrial,,False
8,5f403f660f92420bdd8795b1,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046054835.0,,C,Pi,6.0,0,2,31,317,0.65,endTrial,,False
9,5f403f740f92420bdd8795bb,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046068255.0,,L,C,7.0,0,2,31,348,0.65,endTrial,,False
10,5f403f820f92420bdd8795c5,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046082947.0,,L,Pi,8.0,0,2,25,373,0.65,endTrial,,False
11,5f403f930f92420bdd8795cf,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046099222.0,,Pi,C,9.0,0,3,25,398,0.65,endTrial,,False
12,5f403fa00f92420bdd8795d9,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046112159.0,,C,L,10.0,0,3,18,416,0.65,endTrial,,False
13,5f403fae0f92420bdd8795e3,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046126986.0,,Pi,L,11.0,0,3,37,453,0.65,endTrial,,False
