,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
0,5f4fea771034572e6687fb20,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599072887777.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,horizontal,vertical,,0,practice,0,75,0,0.0,endTrial,True
1,5f4feba41034572e6687fb64,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073188757.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,horizontal,vertical,,0,practice,0,100,0,0.0,endTrial,True
2,5f4fec4a1034572e6687fb9e,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073354808.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,0,0,0,100,100,0.25,endTrial,False
3,5f4fecdf1034572e6687fbd6,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073503359.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,0,0,0,100,200,0.5,endTrial,False
4,5f4fed8f1034572e6687fc15,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073679363.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,C,Pi,2.0,0,0,0,100,300,0.75,endTrial,False
5,5f4fee0e1034572e6687fc47,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073806352.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,C,L,3.0,0,1,0,100,400,1.0,endTrial,False
6,5f4fee941034572e6687fc62,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073940056.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,Pi,C,4.0,0,1,0,100,500,1.25,endTrial,False
7,5f4fef031034572e6687fc79,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074051214.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,Pi,L,5.0,0,1,0,100,600,1.5,endTrial,False
8,5f4fef5c1034572e6687fc8c,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074140896.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,6.0,0,2,0,100,700,1.75,endTrial,False
9,5f4fefa61034572e6687fca0,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074214529.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,C,Pi,7.0,0,2,0,100,800,2.0,endTrial,False
10,5f4fefe21034572e6687fcab,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074274756.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,8.0,0,2,0,100,900,2.25,endTrial,False
11,5f4ff0211034572e6687fcbf,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074337105.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,Pi,L,9.0,0,3,0,100,1000,2.5,endTrial,False
12,5f4ff05b1034572e6687fcd2,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074395059.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,C,L,10.0,0,3,0,100,1100,2.75,endTrial,False
13,5f4ff0981034572e6687fcdf,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599074456744.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,Pi,C,11.0,0,3,0,100,1200,3.0,endTrial,False
