,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
0,5f5912be1034572e668814b1,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599673022221.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,vertical,horizontal,,0,practice,0,100,0,0.0,endTrial,True
1,5f5914031034572e66881504,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599673347786.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,L,Pi,0.0,0,0,0,62,62,0.1,endTrial,False
2,5f5915141034572e66881566,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599673620618.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,L,C,1.0,0,0,0,93,155,0.25,endTrial,False
3,5f5916451034572e668815f4,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599673925543.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,C,Pi,2.0,0,0,0,100,255,0.5,endTrial,False
4,5f5917301034572e66881661,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599674160397.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,Pi,C,3.0,0,1,0,100,355,0.75,endTrial,False
5,5f5917e31034572e668816c1,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599674339538.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,C,L,4.0,0,1,0,100,455,1.0,endTrial,False
6,5f5918821034572e6688170b,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599674498277.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,Pi,L,5.0,0,1,0,100,555,1.25,endTrial,False
7,5f59192a1034572e6688173a,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599674666118.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,L,C,6.0,0,2,0,100,655,1.5,endTrial,False
8,5f5919c81034572e66881773,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599674824929.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,C,Pi,7.0,0,2,0,100,755,1.75,endTrial,False
9,5f591aa41034572e668817b3,pilot4b,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1599675044076.0,3O6CYIULEH1LVF5ZZSVQQ69LZ1EWUR,L,Pi,8.0,0,2,0,68,823,1.85,endTrial,False
